#,Cadastral Code,X,Y,Name,Address,Property Owner,Land Use Purpose,Access into property,Parking space markings,Tenant Area (Sq.m),# of Tenant Parking,Public Area (Sq.m),# of Public Parking,Public parking price,Distance to Public Transport - Bus,Access to Public Transport - Bus,Distance to Public Transport Metro,Access to Public Transport Merto,Comment 
284,01.11.13.001.051,485138.5353,4626530.276,Central market of Gldani,"Marat Nozadze St., N 15","Apartment owners
""Region Logistics"" LLC",Retail,Yes,Unmarked,,,1520,58,Paid,within 400m,Bad,within 800m,Bad,"Entrance 1 GEL, parking 3 GEL, 24/7 parking 7 GEL"
285,01.11.13.001.056,485268.1857,4626519.391,Near by the central market of Gldani,"Marat Nozadze St., N 17b",Interlogistics Ltd,Retail,Yes,Unmarked,,,610,23,Paid,beyond 400m,-,within 800m,Bad,"3 GEL for three hours, 5 GEL all day"
286,01.11.13.001.100,485438.7,4626525.983,International Academy Guma-Meridian,"Marat Nozadze St., N 27",Guma-Meridian International Academy Ltd,Education,Yes,Marked,,29,,,Free,beyond 400m,-,beyond 800m,-,
287,01.11.12.015.087,484876.2938,4626722.455,Gldani market 1,"Angia Bochorishvili St., N 3","State
Giorgi Machaidze
Mzia Khasaya
Nina Tsintsadze",Retail,Yes,Unmarked,,,2430,93,Paid,within 400m,Bad,within 800m,Bad,Entry is 2 GEL
288,01.11.12.016.061,484754.9718,4626770.005,Gldani Mall,"Omar Khizanishvili St., N 9 / Ilia vekua St., N 6","Joint Stock Company ""Legia""
""Leader Trade"" LLC
LLC ""Ref En""
Secular Ltd",Retail,Yes,Marked,,,,72,Paid,within 400m,Good,within 800m,Good,"(9:00-23:00) - 3 GEL, and each next hour 1 GEL, (23:00-9:00) - fixed night rate 5 GEL"
289,01.11.12.016.136,484840.77,4626842.491,Libre (rooftop parking),"Ilia Vekua St., N 12","LLC ""Roko 7""",Retail,Yes,Marked,,,,86,Paid,within 400m,Good,within 800m,Good,"Entry is 3 GEL, each next hour is 1 GEL"
290,01.11.12.016.120,484736.1139,4626754.223,Near by Best Shaurma,"Nearby  the ""Akhmeteli Theatre"" Metro Station",Tbilisi Municipality,Retail,Yes,Unmarked,,,380,15,Paid,within 400m,Good,within 800m,Good,"Entry is 3 GEL, each next hour is 1 GEL, for microbus entry is 5 GEL"
291,01.11.12.003.013,485140.489,4627414.068,Madart,"Omar Khizanishvili St., N 37","""Bani"" Ltd.",Retail,Yes,Marked,,,,13,Free,within 400m,Good,beyond 800m,-,Only for costumers
292,01.11.10.013.138,485771.4776,4627768.4,Gldani swimming pool,"Ilia Vekua St.,  N 127",Tbilisi Municipality,Entertainment & Recreation,Yes,Marked,,,,32,Paid,within 400m,Good,beyond 800m,-,Only for costumers
293,01.11.10.012.027,485635.696,4627813.767,Carrefour,"Ilia Vekua St.,  N 42","LLC ""MP Development""",Retail,Yes,Marked,,,,95,Paid,within 400m,Good,beyond 800m,-,"Parking price is 1 GEL, parking for 24 hours is 5 GEL"
